status,variation_index,augmented_from,system_role,question,answer,category,source_file,chunk,page
original,0,,You are a helpful Canon printer technician.,What basic operations does this chapter describe?,"This chapter describes how to use the control panel, load paper and documents.",procedure,canon_manual.md,Basic Operations ................................................................................................................................................. 2 (chunk 0),5
original,0,,You are a customer service agent for Canon printers.,What does this section describe regarding the machine?,"This section describes the exterior and interior parts of the machine and their functions, as well as how to use the keys on the control panel and how to view the display.",procedure,canon_manual.md,◼ Parts and Their Functions (chunk 0),6
original,0,,You are a Canon technical support specialist.,What does the section titled 'Using the Display' describe?,It describes how to toggle the display and select items.,procedure,canon_manual.md,◼ Using the Display (chunk 0),6
original,0,,You are a helpful Canon printer technician.,What does the section titled 'Placing Documents' describe?,It describes how to place documents on the platen glass.,procedure,canon_manual.md,◼ Placing Documents (chunk 0),6
original,0,,You are a Canon printer hardware expert.,What does this section describe?,This section describes how to load paper into the paper drawer and multi-purpose tray.,procedure,canon_manual.md,◼ Loading Paper (chunk 0),6
original,0,,You are a Canon printer hardware expert.,What does this section describe regarding the machine's parts and operations?,"This section describes the parts of the machine (exterior, front and back side, and interior) and how they function, including basic operations like placing documents, loading paper, replacing toner cartridges, as well as the keys on the control panel and display.",procedure,canon_manual.md,Parts and Their Functions (chunk 0),8
original,0,,You are a Canon technical support specialist.,How do you temporarily use a type of paper different from that loaded in the paper drawer?,Load the paper into the multi-purpose tray.,procedure,canon_manual.md,Multi-purpose tray (chunk 0),9
original,0,,You are a helpful Canon printer technician.,How do you secure documents when placing them on the platen glass?,Place the original documents on the platen glass.,procedure,canon_manual.md,Platen cover (chunk 0),9
original,0,,You are a Canon technical support specialist.,What components make up the control panel?,"The control panel consists of keys such as the [Start] key and [Stop] key, a display, and status indicators.",procedure,canon_manual.md,Control panel (chunk 0),9
original,0,,You are a Canon technical support specialist.,How do I load frequently used paper?,Load the type of paper you frequently use into the paper drawer.,procedure,canon_manual.md,Paper drawer 1 (chunk 0),9
original,0,,You are a helpful Canon printer technician.,How should you connect the machine to a computer?,You must connect a USB cable.,procedure,canon_manual.md,USB port (chunk 0),9
original,0,,You are a Canon technical support specialist.,How do you restart the printer?,"To restart the machine, turn OFF the machine, wait for at least 10 seconds, and turn it back ON.",procedure,canon_manual.md,Power switch (chunk 0),10
original,0,,You are a Canon technical support specialist.,How do I determine which genuine toner is compatible with my printer?,Use toner that has a code containing the same letters as the code on the front cover of the machine.,procedure,canon_manual.md,Toner code (chunk 0),10
original,0,,You are a Canon printer hardware expert.,How should you handle thick or bound documents like books when scanning?,Place them on the platen glass.,procedure,canon_manual.md,Platen glass (chunk 0),11
original,0,,You are a helpful Canon printer technician.,What should you do to clear a paper jam in paper drawer 1?,Open the cover labeled 'Clearing Jams'.,rule_error,canon_manual.md,Drawer 1 left cover (chunk 0),11
original,0,,You are a customer service agent for Canon printers.,What should be done to resolve a paper jam around the fixing assembly?,Clear the paper jam from that area.,rule_error,canon_manual.md,Fixing assembly (chunk 0),11
original,0,,You are a Canon printer hardware expert.,What should you do to clear a paper jam inside the main unit?,Open this cover.,rule_error,canon_manual.md,Left cover (chunk 0),11
original,0,,You are a customer service agent for Canon printers.,How do you replace the toner cartridges?,Replace the toner cartridge when the toner runs out.,procedure,canon_manual.md,Toner cartridge (chunk 0),11
original,0,,You are a customer service agent for Canon printers.,What should be done before the usage period of the drum unit expires?,Replace the drum unit.,procedure,canon_manual.md,Drum unit (chunk 0),11
original,0,,You are a Canon printer hardware expert.,How do you access the procedure for replacing toner cartridges?,Open the cover to replace the toner cartridge or drum unit.,procedure,canon_manual.md,Front cover (chunk 0),12
original,0,,You are a helpful Canon printer technician.,How do you access the Home screen?,Press to display the Home screen.,procedure,canon_manual.md,[Home] key (chunk 0),13
original,0,,You are a helpful Canon printer technician.,"What allows users to view job progress, error statuses, and specify settings on this printer?",The display is a touch panel that enables operation by touching the screen.,rule_error,canon_manual.md,Display (chunk 0),13
original,0,,You are a Canon technical support specialist.,What happens if I press the specified key while setting up options?,The settings will not be applied and the display returns to the previous screen.,procedure,canon_manual.md,[Back] key (chunk 0),13
original,0,,You are a Canon technical support specialist.,What steps should be taken to select a paper source?,"Press the button to select a paper source, such as a paper drawer or multi-purpose tray, and register the paper size and type.",procedure,canon_manual.md,[Paper Settings] key (chunk 0),13
original,0,,You are a Canon printer hardware expert.,What can be checked by pressing to view usage history?,"You can check the status of printing, remaining amounts of paper and toner, or whether any errors occurred.",procedure,canon_manual.md,[Status Monitor] key (chunk 0),14
original,0,,You are a customer service agent for Canon printers.,How do you put the printer into sleep mode and how can you tell it is active?,Press the key to enter sleep mode; the machine indicates this by lighting up green.,procedure,canon_manual.md,[Energy Saver] key (chunk 0),14
original,0,,You are a customer service agent for Canon printers.,How do you view the total number of pages used for operations like copying or printing?,Press to display the total number of pages on the touch panel.,procedure,canon_manual.md,[Counter Check] key (chunk 0),14
