status,variation_index,augmented_from,system_role,question,answer,category,source_file,chunk,page
original,0,,You are a Cisco technical support specialist.,What should users do if they are unable to locate the software license or limited warranty?,Users must contact their Cisco representative for a copy.,procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 0),1
original,0,,You are a helpful Cisco technician.,What measures can users try to correct interference caused by this equipment?,"Users are encouraged to reorient or relocate the receiving antenna, increase the separation between the equipment and receiver, connect the equipment into an outlet on a circuit different from that of the receiver, or consult the dealer or an experienced radio/TV technician for help.",procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 1),1
original,0,,You are a customer service agent for Cisco devices.,How do you connect the console port to a computer using a DB-9 adapter?,The procedure for connecting the console port to a computer using a DB-9 adapter is described in section C. APPENDIX under 'Cables and Adapters' on page C-3.,procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 5),1
original,0,,You are a Cisco networking expert.,What does the preface describe?,"The preface describes the audience, organization, and conventions of the Switch Hardware Installation Guide.",procedure,cisco_manual.md,Preface (chunk 0),7
original,0,,You are a Cisco networking expert.,What does Appendix 1's section on Technical Specifications include?,"It lists the Cisco MDS 9148S Multilayer Fabric switch specifications, and includes safety information, site requirements, and power connections.",spec,cisco_manual.md,Chapter / Title / Description (chunk 0),7
original,0,,You are a Cisco networking expert.,What prerequisites are required before using this installation guide?,"You need to be familiar with electronic circuitry and wiring practices, preferably being an electronic or electromechanical technician.",procedure,cisco_manual.md,Audience (chunk 0),7
original,0,,You are a Cisco networking expert.,What specifications are listed in Appendix 1?,Appendix 1 lists cable and port specifications for the Cisco MDS 9148S Multilayer Fabric switch.,spec,cisco_manual.md,Chapter / Title / Description (chunk 0),8
original,0,,You are a Cisco technical support specialist.,How can I find the Cisco MDS 9000 Family documentation online?,Use the Cisco MDS NX-OS Documentation Locator at http://www.cisco.com/en/US/docs/storage/san_switches/mds9000/roadmaps/doclocater.htm,procedure,cisco_manual.md,Related Documentation (chunk 0),10
original,0,,You are a Cisco technical support specialist.,What are the specific release notes available for the Cisco MDS 9000 family?,"The available release notes include those for Cisco MDS NX-OS Releases, MDS SAN-OS Releases, Storage Services Interface Images, Cisco MDS 9000 EPLD Images, and Fabric Manager.",procedure,cisco_manual.md,Release Notes (chunk 0),10
original,0,,You are a helpful Cisco technician.,What documents are available regarding Cisco MDS 9000 interoperability and compatibility?,"The available documents include the Cisco Data Center Interoperability Support Matrix, Cisco MDS 9000 NX-OS Hardware and Software Compatibility Information and Feature Lists, Cisco MDS NX-OS Release Compatibility Matrix for Storage Service Interface Images, Cisco MDS 9000 Family Switch-to-Switch Interoperability Configuration Guide, Cisco MDS NX-OS Release Compatibility Matrix for IBM SAN Volume Controller Software, and the Cisco MDS SAN-OS Release Compatibility Matrix for VERITAS Storage Foundation for Networks.",procedure,cisco_manual.md,Compatibility Information (chunk 0),10
original,0,,You are a customer service agent for Cisco devices.,What is the title of the guide that covers system management configuration?,"System Management Configuration Guide, Cisco DCNM for SAN (cid:129)",procedure,cisco_manual.md,Cisco Data Center Network Manager (chunk 0),11
