status,variation_index,augmented_from,system_role,question,answer,category,source_file,chunk,page
original,0,,You are a Cisco technical support specialist.,How can I find contact information for Cisco offices worldwide?,"Addresses, phone numbers, and fax numbers are listed on the Cisco website at www.cisco.com/go/offices.",procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 0),1
original,0,,You are a Cisco technical support specialist.,What should you do if you cannot locate the software license or limited warranty?,Contact your Cisco representative for a copy.,procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 0),1
original,0,,You are a Cisco technical support specialist.,How can I try to correct interference if my printer causes harmful interference to radio or television reception?,"You can try to correct the interference by reorienting or relocating the receiving antenna, increasing the separation between the equipment and receiver, connecting the equipment into an outlet on a circuit different from that to which the receiver is connected, or consulting the dealer or an experienced radio/TV technician for help.",procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 1),1
original,0,,You are a customer service agent for Cisco devices.,How can I view a list of Cisco trademarks?,"To view a list of Cisco trademarks, go to the URL www.cisco.com/go/trademarks.",procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 2),1
original,0,,You are a helpful Cisco technician.,How do you connect the console port to a computer using the DB-25 adapter?,Connecting the Console Port to a Computer Using the DB-25 Adapter,procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 5),1
original,0,,You are a helpful Cisco technician.,What are the power supply requirements and heat dissipation specifications for this device?,Power Supply Requirements and Heat Dissipation Specifications B-3.,procedure,cisco_manual.md,Cisco MDS 9148S Multilayer Hardware (chunk 5),1
original,0,,You are a customer service agent for Cisco devices.,What does the technical specifications section of the manual list?,"The Cisco MDS 9148S Multilayer Fabric switch specifications, including safety information, site requirements, and power connections.",spec,cisco_manual.md,Chapter / Title / Description (chunk 0),7
original,0,,You are a customer service agent for Cisco devices.,How can I best prepare to use this installation guide?,"You should be familiar with electronic circuitry and wiring practices, preferably as an electronic or electromechanical technician.",procedure,cisco_manual.md,Audience (chunk 0),7
original,0,,You are a Cisco networking expert.,What does Appendix 1 of the manual specify?,Appendix 1 lists cable and port specifications for the Cisco MDS 9148S Multilayer Fabric switch.,spec,cisco_manual.md,Chapter / Title / Description (chunk 0),8
original,0,,You are a Cisco networking expert.,How do you install power supplies and fan modules for the Cisco MDS 9148S Multilayer Fabric switch?,"Chapter 2 describes how to install the CiscoMDS. 9148S Multilayer Fabric switch, and includes how to install power supplies and fan modules.",procedure,cisco_manual.md,Organization (chunk 0),7
original,0,,You are a helpful Cisco technician.,How can I understand the warnings in this printer manual if my native language is not Portuguese or Swedish?,"To understand the warnings, you should consult the document titled 'Regulatory Compliance and Safety Information' that comes with the device. This document provides translations of the warnings present in the publication.",procedure,cisco_manual.md,Organization (chunk 2),7
original,0,,You are a Cisco networking expert.,How can I find the documentation for the Cisco MDS 9000 Family online?,"To find a document online, use the Cisco MDS NX-OS Documentation Locator at http://www.cisco.com/en/US/docs/storage/san_switches/mds9000/roadmaps/doclocater.htm.",procedure,cisco_manual.md,Related Documentation (chunk 0),10
